,base_word,guide_word,level,none,category,details,link
104,until,DIRECTIONS,B1,,,Details,/british-english/words/detail/6383
105,whenever,EVERY TIME,B1,,,Details,/british-english/words/detail/6630
106,wherever,EVERY PLACE,B1,,,Details,/british-english/words/detail/6635
107,whether,IF,B1,,,Details,/british-english/words/detail/6636
108,yet,,B1,,,Details,/british-english/words/detail/6763
109,when,ALTHOUGH,B2,,,Details,/british-english/words/detail/6629
110,where,PROCESS/ACTIVITY,B2,,,Details,/british-english/words/detail/6631
111,caution,,C2,verb,communication,Details,/british-english/words/detail/819
112,advertisement,,A2,noun,arts and media,Details,/british-english/words/detail/112
113,assert,,C1,verb,communication,Details,/british-english/words/detail/343
114,address,SPEAK,C2,verb,communication,Details,/british-english/words/detail/83
115,cash,MONEY,B1,noun,money,Details,/british-english/words/detail/801
116,acquire,GET,B2,verb,people: actions,Details,/british-english/words/detail/61
117,click,PEOPLE,C2,verb,relationships,Details,/british-english/words/detail/955
118,bike,MOTORCYCLE,B1,noun,travel,Details,/british-english/words/detail/537
119,clarification,,C1,noun,,Details,/british-english/words/detail/936
120,acknowledge,SAY RECEIVED,C1,verb,,Details,/british-english/words/detail/59
121,aid,,C1,verb,,Details,/british-english/words/detail/146
122,applaud,PRAISE,C2,verb,,Details,/british-english/words/detail/281
123,cease,,B2,verb,,Details,/british-english/words/detail/825
124,carrot,REWARD,C2,noun,,Details,/british-english/words/detail/796
125,character,PERSON,C2,noun,,Details,/british-english/words/detail/863
126,ages,,B1,noun,,Details,/british-english/words/detail/137
127,bunch,PEOPLE,B1,noun,,Details,/british-english/words/detail/698
128,click,IDEA,C2,verb,,Details,/british-english/words/detail/955
129,birth,BEGINNING,C1,noun,,Details,/british-english/words/detail/548
130,approval,PERMISSION,B2,noun,communication,Details,/british-english/words/detail/294
131,chemical,,B2,noun,natural world,Details,/british-english/words/detail/891
132,appearance,IN PUBLIC,B2,noun,arts and media,Details,/british-english/words/detail/279
133,assurance,PROMISE,C1,noun,communication,Details,/british-english/words/detail/357
134,allowance,MONEY,C1,noun,money,Details,/british-english/words/detail/174
135,assistance,,B2,noun,people: actions,Details,/british-english/words/detail/351
136,appearance,WAY YOU LOOK,B1,noun,people: appearance,Details,/british-english/words/detail/279
137,assurance,CONFIDENCE,C2,noun,people: personality,Details,/british-english/words/detail/357
138,appearance,BECOMING AVAILABLE,B2,noun,shopping,Details,/british-english/words/detail/279
139,assistant,LESS IMPORTANT JOB,B1,noun,work,Details,/british-english/words/detail/352
140,coherence,CLEAR,C2,noun,communication,Details,/british-english/words/detail/993
141,bestseller,,B2,noun,arts and media,Details,/british-english/words/detail/525
142,beginner,,A2,noun,people: personality,Details,/british-english/words/detail/502
143,CD player,,A1,noun,technology,Details,/british-english/words/detail/823
144,browser,,B2,noun,technology,Details,/british-english/words/detail/678
145,backpacker,,B1,noun,travel,Details,/british-english/words/detail/419
146,bumper,,B2,noun,travel,Details,/british-english/words/detail/696
147,cleaner,PERSON,A2,noun,work,Details,/british-english/words/detail/949
148,babysitter,,B1,noun,work,Details,/british-english/words/detail/413
149,barber,,B1,noun,work,Details,/british-english/words/detail/456
150,builder,,B1,noun,work,Details,/british-english/words/detail/687
151,adviser,,C1,noun,work,Details,/british-english/words/detail/116
152,classic,,B2,noun,arts and media,Details,/british-english/words/detail/941
153,characteristic,,B2,noun,describing things,Details,/british-english/words/detail/864
154,clothing,,B2,noun,clothes,Details,/british-english/words/detail/973
155,catering,,B2,noun,food and drink,Details,/british-english/words/detail/815
156,central heating,,B1,noun,homes and buildings,Details,/british-english/words/detail/838
157,boxing,,B1,noun,shopping,Details,/british-english/words/detail/623
158,camping,,A2,noun,travel,Details,/british-english/words/detail/750
159,backpacking,,B1,noun,travel,Details,/british-english/words/detail/420
160,booking,,B1,noun,travel,Details,/british-english/words/detail/598
161,animation,,B1,noun,arts and media,Details,/british-english/words/detail/237
162,allegation,,C1,noun,communication,Details,/british-english/words/detail/165
163,addition,NUMBERS/AMOUNTS,B2,noun,describing things,Details,/british-english/words/detail/80
164,admission,PERMISSION,B2,noun,education,Details,/british-english/words/detail/95
165,admission,MONEY,B1,noun,money,Details,/british-english/words/detail/95
166,action,ACTIVITY,B1,noun,people: actions,Details,/british-english/words/detail/65
167,collection,TAKING AWAY,B2,noun,people: actions,Details,/british-english/words/detail/1007
168,action,DO,B2,noun,people: actions,Details,/british-english/words/detail/65
169,calculation,,B2,noun,people: actions,Details,/british-english/words/detail/739
170,admiration,,B2,noun,people: personality,Details,/british-english/words/detail/93
171,ambition,STRONG FEELING,B2,noun,people: personality,Details,/british-english/words/detail/205
172,appreciation,,B2,noun,people: personality,Details,/british-english/words/detail/290
173,affection,,B2,noun,people: personality,Details,/british-english/words/detail/121
174,attraction,FEELING,C2,noun,relationships,Details,/british-english/words/detail/381
175,celebration,,B1,noun,relationships,Details,/british-english/words/detail/828
176,adoption,,B2,noun,relationships,Details,/british-english/words/detail/101
177,application,COMPUTER SOFTWARE,B2,noun,technology,Details,/british-english/words/detail/285
178,capitalism,,C2,noun,politics,Details,/british-english/words/detail/769
179,archaeologist,,C1,noun,work,Details,/british-english/words/detail/301
180,clarity,,C2,noun,communication,Details,/british-english/words/detail/938
181,capacity,AMOUNT,B2,noun,describing things,Details,/british-english/words/detail/767
182,capacity,ABILITY,B2,noun,people: personality,Details,/british-english/words/detail/767
183,capacity,JOB,C1,noun,work,Details,/british-english/words/detail/767
184,activity,WORK,B2,noun,work,Details,/british-english/words/detail/68
