,base_word,guide_word,level,none,category,details,link
1227,bounce,MOVE UP,B2,verb,,Details,/british-english/words/detail/617
1228,break,END,B2,verb,,Details,/british-english/words/detail/640
1229,burst,BREAK APART,B2,verb,,Details,/british-english/words/detail/709
1230,chew,EAT,B2,verb,,Details,/british-english/words/detail/899
1231,chew,BITE,B2,verb,,Details,/british-english/words/detail/899
1232,close,STOP OPERATING,B2,verb,,Details,/british-english/words/detail/966
1233,coach,,B2,verb,,Details,/british-english/words/detail/982
1234,collect,MONEY,B2,verb,,Details,/british-english/words/detail/1006
1235,accelerate,HAPPEN,C1,verb,,Details,/british-english/words/detail/25
1236,accumulate,,C1,verb,,Details,/british-english/words/detail/47
1237,allow,MAKE POSSIBLE,C1,verb,,Details,/british-english/words/detail/173
1238,applaud,CLAP,C1,verb,,Details,/british-english/words/detail/281
1239,bet,,C1,verb,,Details,/british-english/words/detail/526
1240,broaden,,C1,verb,,Details,/british-english/words/detail/667
1241,cater,,C1,verb,,Details,/british-english/words/detail/814
1242,arch,,C2,verb,,Details,/british-english/words/detail/300
1243,assemble,GROUP,C2,verb,,Details,/british-english/words/detail/341
1244,battle,,C2,verb,,Details,/british-english/words/detail/478
1245,beat,SOUND,C2,verb,,Details,/british-english/words/detail/487
1246,break,BECOME KNOWN,C2,verb,,Details,/british-english/words/detail/640
1247,catch,STICK,C2,verb,,Details,/british-english/words/detail/812
1248,circle,MOVE,C2,verb,,Details,/british-english/words/detail/923
1249,click,SOUND,C2,verb,,Details,/british-english/words/detail/955
1250,air force,,B1,noun,,Details,/british-english/words/detail/151
1251,angel,,B1,noun,,Details,/british-english/words/detail/230
1252,barman,,B1,noun,,Details,/british-english/words/detail/461
1253,bomb,,B1,noun,,Details,/british-english/words/detail/590
1254,chapel,,C2,noun,,Details,/british-english/words/detail/861
1255,abuse,BAD TREATMENT,B2,noun,,Details,/british-english/words/detail/22
1256,abuse,WRONG USE,B2,noun,,Details,/british-english/words/detail/22
1257,bombing,,B2,noun,,Details,/british-english/words/detail/592
1258,abuse,WRONG ACTION,C1,noun,,Details,/british-english/words/detail/22
1259,assault,,C2,noun,,Details,/british-english/words/detail/340
1260,combat,,C2,noun,,Details,/british-english/words/detail/1016
1261,bribe,,C1,verb,,Details,/british-english/words/detail/651
1262,assault,,C2,verb,,Details,/british-english/words/detail/340
1263,combat,,C2,verb,,Details,/british-english/words/detail/1016
1264,boiling,,B2,adjective,natural world,Details,/british-english/words/detail/587
1265,bear,HAVE CHILD,C2,verb,body and health,Details,/british-english/words/detail/485
1266,adjacent,,C2,adjective,describing things,Details,/british-english/words/detail/86
1267,awesome,GOOD,A2,adjective,describing things,Details,/british-english/words/detail/408
1268,big,SUCCESSFUL,C1,adjective,,Details,/british-english/words/detail/536
1269,blue,SAD,C2,adjective,,Details,/british-english/words/detail/577
1270,cast,LIGHT,C2,verb,,Details,/british-english/words/detail/804
1271,acceptable,GOOD ENOUGH,B1,adjective,describing things,Details,/british-english/words/detail/28
1272,capable,GOOD AT DOING THINGS,B2,adjective,people: personality,Details,/british-english/words/detail/766
1273,available,ABLE TO GET,A2,adjective,shopping,Details,/british-english/words/detail/398
1274,clinical,MEDICAL,C1,adjective,body and health,Details,/british-english/words/detail/964
1275,alphabetical,,B2,adjective,communication,Details,/british-english/words/detail/183
1276,additional,,B2,adjective,describing things,Details,/british-english/words/detail/81
1277,artificial,NOT NATURAL,B2,adjective,describing things,Details,/british-english/words/detail/325
1278,beneficial,,B2,adjective,describing things,Details,/british-english/words/detail/519
1279,chemical,,B2,adjective,natural world,Details,/british-english/words/detail/891
1280,coastal,,B2,adjective,natural world,Details,/british-english/words/detail/986
1281,artificial,NOT SINCERE,C2,adjective,people: personality,Details,/british-english/words/detail/325
1282,clinical,NO EMOTION,C2,adjective,people: personality,Details,/british-english/words/detail/964
1283,arrogant,,B2,adjective,people: personality,Details,/british-english/words/detail/321
1284,animated,FILM,B1,adjective,arts and media,Details,/british-english/words/detail/236
1285,addicted,DRUGS,B2,adjective,body and health,Details,/british-english/words/detail/77
1286,advanced,HIGHER LEVEL,A2,adjective,describing things,Details,/british-english/words/detail/104
1287,advanced,MODERN,B1,adjective,describing things,Details,/british-english/words/detail/104
1288,boiled,,A2,adjective,food and drink,Details,/british-english/words/detail/586
1289,canned,,B2,adjective,food and drink,Details,/british-english/words/detail/761
1290,bored,,A1,adjective,people: personality,Details,/british-english/words/detail/606
1291,amazed,,B1,adjective,people: personality,Details,/british-english/words/detail/198
1292,annoyed,,B1,adjective,people: personality,Details,/british-english/words/detail/244
1293,ashamed,EMBARRASSED,B1,adjective,people: personality,Details,/british-english/words/detail/331
1294,addicted,LIKING,B2,adjective,people: personality,Details,/british-english/words/detail/77
1295,amused,FUNNY,B2,adjective,people: personality,Details,/british-english/words/detail/216
1296,astonished,,B2,adjective,people: personality,Details,/british-english/words/detail/359
1297,bad-tempered,,B2,adjective,people: personality,Details,/british-english/words/detail/430
1298,bothered,,B2,adjective,people: personality,Details,/british-english/words/detail/614
1299,animated,EXCITEMENT,C2,adjective,people: personality,Details,/british-english/words/detail/236
1300,closed,NOT ACCEPTING IDEAS,C2,adjective,people: personality,Details,/british-english/words/detail/967
1301,adopted,,B2,adjective,relationships,Details,/british-english/words/detail/100
1302,closed,BUSINESS/SHOP,A1,adjective,shopping,Details,/british-english/words/detail/967
1303,better,HEALTHY,A1,adjective,body and health,Details,/british-english/words/detail/528
1304,better,HIGHER STANDARD,A1,adjective,describing things,Details,/british-english/words/detail/528
1305,beautiful,PLEASANT,A1,adjective,describing things,Details,/british-english/words/detail/488
1306,colourful,BRIGHT,B1,adjective,describing things,Details,/british-english/words/detail/1013
1307,beautiful,ATTRACTIVE,A1,adjective,people: appearance,Details,/british-english/words/detail/488
1308,careful,,A2,adjective,people: personality,Details,/british-english/words/detail/785
1309,cheerful,HAPPY,B1,adjective,people: personality,Details,/british-english/words/detail/885
1310,cheerful,MAKING YOU FEEL HAPPY,B2,adjective,people: personality,Details,/british-english/words/detail/885
1311,artistic,RELATING TO ART,B2,adjective,arts and media,Details,/british-english/words/detail/329
1312,classic,,B2,adjective,arts and media,Details,/british-english/words/detail/941
1313,chronic,,C2,adjective,body and health,Details,/british-english/words/detail/919
1314,basic,MAIN,B1,adjective,describing things,Details,/british-english/words/detail/467
1315,basic,NECESSARY,B1,adjective,describing things,Details,/british-english/words/detail/467
1316,basic,SIMPLE,B1,adjective,describing things,Details,/british-english/words/detail/467
1317,authentic,,C1,adjective,describing things,Details,/british-english/words/detail/390
1318,academic,EDUCATION,B2,adjective,education,Details,/british-english/words/detail/24
1319,academic,CLEVER,C2,adjective,people: personality,Details,/british-english/words/detail/24
1320,apologetic,,C2,adjective,people: personality,Details,/british-english/words/detail/270
1321,charismatic,,C2,adjective,people: personality,Details,/british-english/words/detail/867
1322,atomic,,B2,adjective,technology,Details,/british-english/words/detail/369
1323,automatic,MACHINE,B2,adjective,technology,Details,/british-english/words/detail/394
1324,amazing,GOOD,A2,adjective,describing things,Details,/british-english/words/detail/200
1325,amusing,,B1,adjective,describing things,Details,/british-english/words/detail/218
1326,appalling,BAD,C1,adjective,describing things,Details,/british-english/words/detail/274
1327,appalling,SHOCKING,C2,adjective,describing things,Details,/british-english/words/detail/274
1328,boring,,A1,adjective,people: personality,Details,/british-english/words/detail/607
1329,amazing,SURPRISING,B1,adjective,people: personality,Details,/british-english/words/detail/200
1330,annoying,,B1,adjective,people: personality,Details,/british-english/words/detail/245
1331,charming,,B1,adjective,people: personality,Details,/british-english/words/detail/870
1332,astonishing,,B2,adjective,people: personality,Details,/british-english/words/detail/360
1333,caring,,B2,adjective,people: personality,Details,/british-english/words/detail/791
1334,circulation,NEWSPAPERS,C2,noun,arts and media,Details,/british-english/words/detail/926
1335,circulation,BLOOD,C2,noun,body and health,Details,/british-english/words/detail/926
1336,childish,SILLY,B2,adjective,people: personality,Details,/british-english/words/detail/905
1337,childish,OF A CHILD,B2,adjective,people: personality,Details,/british-english/words/detail/905
1338,capitalist,,C2,adjective,politics,Details,/british-english/words/detail/770
1339,active,VOLCANO,C1,adjective,natural world,Details,/british-english/words/detail/66
1340,attractive,BEAUTIFUL,A2,adjective,people: appearance,Details,/british-english/words/detail/382
1341,aggressive,VIOLENT,B2,adjective,people: personality,Details,/british-english/words/detail/139
1342,assertive,,C2,adjective,people: personality,Details,/british-english/words/detail/344
1343,careless,,B1,adjective,people: personality,Details,/british-english/words/detail/787
1344,actually,TRUTH,A2,adverb,communication,Details,/british-english/words/detail/71
1345,badly,VERY MUCH,A2,adverb,communication,Details,/british-english/words/detail/428
1346,badly,VERY SERIOUSLY,A2,adverb,communication,Details,/british-english/words/detail/428
1347,certainly,NO DOUBT,A2,adverb,communication,Details,/british-english/words/detail/844
1348,certainly,AGREE,A2,adverb,communication,Details,/british-english/words/detail/844
1349,clearly,EASY,A2,adverb,communication,Details,/british-english/words/detail/951
1350,absolutely,COMPLETELY,B1,adverb,communication,Details,/british-english/words/detail/18
1351,actually,SURPRISE,B1,adverb,communication,Details,/british-english/words/detail/71
1352,clearly,CERTAIN,B1,adverb,communication,Details,/british-english/words/detail/951
1353,actually,OPPOSITE,B2,adverb,communication,Details,/british-english/words/detail/71
1354,admittedly,,B2,adverb,communication,Details,/british-english/words/detail/97
1355,alternatively,,B2,adverb,communication,Details,/british-english/words/detail/191
1356,apparently,AS HEARD/READ,B2,adverb,communication,Details,/british-english/words/detail/276
1357,apparently,SEEMS TRUE,B2,adverb,communication,Details,/british-english/words/detail/276
1358,basically,MOSTLY,C1,adverb,communication,Details,/british-english/words/detail/468
1359,badly,LOW QUALITY,A2,adverb,describing things,Details,/british-english/words/detail/428
1360,approximately,,B1,adverb,describing things,Details,/british-english/words/detail/297
1361,adequately,,B2,adverb,describing things,Details,/british-english/words/detail/85
1362,badly,UNPLEASANT,B2,adverb,describing things,Details,/british-english/words/detail/428
1363,barely,,B2,adverb,describing things,Details,/british-english/words/detail/458
1364,brightly,,B2,adverb,describing things,Details,/british-english/words/detail/659
1365,beautifully,,B1,adverb,people: appearance,Details,/british-english/words/detail/489
1366,amazingly,,B1,adverb,people: personality,Details,/british-english/words/detail/201
1367,angrily,,B1,adverb,people: personality,Details,/british-english/words/detail/233
1368,bravely,,B1,adverb,people: personality,Details,/british-english/words/detail/636
1369,aggressively,,B2,adverb,people: personality,Details,/british-english/words/detail/140
1370,anxiously,,B2,adverb,people: personality,Details,/british-english/words/detail/259
1371,boldly,,B2,adverb,people: personality,Details,/british-english/words/detail/589
1372,brilliantly,,B2,adverb,people: personality,Details,/british-english/words/detail/661
1373,calmly,,B2,adverb,people: personality,Details,/british-english/words/detail/745
1374,carelessly,,B2,adverb,people: personality,Details,/british-english/words/detail/788
1375,cheerfully,,B2,adverb,people: personality,Details,/british-english/words/detail/886
1376,closely,CONNECTED,B2,adverb,relationships,Details,/british-english/words/detail/968
1377,automatically,MACHINE,B2,adverb,technology,Details,/british-english/words/detail/395
1378,arrangement,PLANS,B1,noun,people: actions,Details,/british-english/words/detail/317
1379,anxious,WORRIED,B1,adjective,people: personality,Details,/british-english/words/detail/258
1380,adventurous,,B2,adjective,people: personality,Details,/british-english/words/detail/107
1381,ambitious,PERSON,B2,adjective,people: personality,Details,/british-english/words/detail/206
1382,anxious,EAGER,B2,adjective,people: personality,Details,/british-english/words/detail/258
1383,cautious,,B2,adjective,people: personality,Details,/british-english/words/detail/820
1384,bloody,COVERED IN BLOOD,B2,adjective,body and health,Details,/british-english/words/detail/575
1385,chatty,WRITING,C1,adjective,communication,Details,/british-english/words/detail/875
1386,bulky,,C1,adjective,describing things,Details,/british-english/words/detail/691
1387,cloudy,,A2,adjective,natural world,Details,/british-english/words/detail/975
1388,chatty,PERSON,C1,adjective,people: personality,Details,/british-english/words/detail/875
1389,alcoholic,DRINK,B1,adjective,food and drink,Details,/british-english/words/detail/160
1390,alcoholic,PERSON,C2,adjective,people: personality,Details,/british-english/words/detail/160
1391,biological,,B2,adjective,animals,Details,/british-english/words/detail/545
1392,abstract,ART,B2,adjective,arts and media,Details,/british-english/words/detail/20
1393,band,MUSIC,A1,noun,arts and media,Details,/british-english/words/detail/445
1394,audience,GROUP,B1,noun,arts and media,Details,/british-english/words/detail/386
1395,audience,TYPE,B2,noun,arts and media,Details,/british-english/words/detail/386
1396,cast,,B2,noun,arts and media,Details,/british-english/words/detail/804
1397,choir,,B2,noun,arts and media,Details,/british-english/words/detail/914
1398,all right,WELL,A2,adjective,body and health,Details,/british-english/words/detail/175
1399,alright,WELL,A2,adjective,body and health,Details,/british-english/words/detail/185
1400,alive,LIVING,B1,adjective,body and health,Details,/british-english/words/detail/163
1401,asleep,,B1,adjective,body and health,Details,/british-english/words/detail/334
1402,awake,,B1,adjective,body and health,Details,/british-english/words/detail/402
1403,blind,NO SIGHT,B1,adjective,body and health,Details,/british-english/words/detail/566
1404,bump,BODY,C1,noun,body and health,Details,/british-english/words/detail/695
1405,casual,CLOTHES,B1,adjective,clothes,Details,/british-english/words/detail/806
1406,brief,SHORT,B1,adjective,communication,Details,/british-english/words/detail/656
1407,absolute,,B2,adjective,communication,Details,/british-english/words/detail/17
1408,clichéd,,C2,adjective,communication,Details,/british-english/words/detail/954
1409,coherent,UNDERSTAND,C2,adjective,communication,Details,/british-english/words/detail/994
1410,anyway,DESPITE,A2,adverb,communication,Details,/british-english/words/detail/266
1411,anyway,CHANGE SUBJECT,A2,adverb,communication,Details,/british-english/words/detail/266
1412,back,REPLY,A2,adverb,communication,Details,/british-english/words/detail/414
1413,anyway,MORE IMPORTANTLY,B1,adverb,communication,Details,/british-english/words/detail/266
1414,besides,EXTRA REASON,B1,adverb,communication,Details,/british-english/words/detail/523
1415,anyhow,DESPITE,B2,adverb,communication,Details,/british-english/words/detail/262
1416,anyhow,EARLIER SUBJECT,B2,adverb,communication,Details,/british-english/words/detail/262
1417,anyhow,MORE IMPORTANTLY,B2,adverb,communication,Details,/british-english/words/detail/262
1418,anyhow,CHANGING STATEMENT,C1,adverb,communication,Details,/british-english/words/detail/262
1419,bracket,SYMBOL,B2,noun,communication,Details,/british-english/words/detail/628
1420,ban,,B2,verb,communication,Details,/british-english/words/detail/443
1421,bad,UNPLEASANT,A1,adjective,describing things,Details,/british-english/words/detail/426
1422,best,BETTER THAN ALL,A1,adjective,describing things,Details,/british-english/words/detail/524
1423,big,SIZE,A1,adjective,describing things,Details,/british-english/words/detail/536
1424,black,COLOUR,A1,adjective,describing things,Details,/british-english/words/detail/555
1425,blue,COLOUR,A1,adjective,describing things,Details,/british-english/words/detail/577
1426,brown,,A1,adjective,describing things,Details,/british-english/words/detail/676
1427,clean,NOT DIRTY,A1,adjective,describing things,Details,/british-english/words/detail/948
1428,close,NEAR,A1,adjective,describing things,Details,/british-english/words/detail/966
1429,back,AT BACK,A2,adjective,describing things,Details,/british-english/words/detail/414
1430,bad,LOW QUALITY,A2,adjective,describing things,Details,/british-english/words/detail/426
1431,big,IMPORTANT,A2,adjective,describing things,Details,/british-english/words/detail/536
1432,bright,COLOUR,A2,adjective,describing things,Details,/british-english/words/detail/658
1433,brilliant,VERY GOOD,A2,adjective,describing things,Details,/british-english/words/detail/660
1434,broken,DAMAGED,A2,adjective,describing things,Details,/british-english/words/detail/672
1435,clear,TRANSPARENT,A2,adjective,describing things,Details,/british-english/words/detail/950
1436,accurate,,B1,adjective,describing things,Details,/british-english/words/detail/50
1437,ancient,,B1,adjective,describing things,Details,/british-english/words/detail/228
1438,antique,,B1,adjective,describing things,Details,/british-english/words/detail/255
1439,average,AMOUNT,B1,adjective,describing things,Details,/british-english/words/detail/400
1440,awful,BAD,B1,adjective,describing things,Details,/british-english/words/detail/409
1441,bad,SEVERE,B1,adjective,describing things,Details,/british-english/words/detail/426
1442,bad,NOT LUCKY,B1,adjective,describing things,Details,/british-english/words/detail/426
1443,blank,EMPTY,B1,adjective,describing things,Details,/british-english/words/detail/561
1444,bold,EASY TO NOTICE,B1,adjective,describing things,Details,/british-english/words/detail/588
1445,brand new,,B1,adjective,describing things,Details,/british-english/words/detail/633
1446,brilliant,VERY BRIGHT,B1,adjective,describing things,Details,/british-english/words/detail/660
1447,broad,WIDE,B1,adjective,describing things,Details,/british-english/words/detail/664
1448,clever,EFFECTIVE,B1,adjective,describing things,Details,/british-english/words/detail/952
1449,absurd,,B2,adjective,describing things,Details,/british-english/words/detail/21
1450,adequate,ENOUGH,B2,adjective,describing things,Details,/british-english/words/detail/84
1451,adequate,GOOD ENOUGH,B2,adjective,describing things,Details,/british-english/words/detail/84
1452,appropriate,,B2,adjective,describing things,Details,/british-english/words/detail/292
1453,approximate,,B2,adjective,describing things,Details,/british-english/words/detail/296
1454,average,USUAL,B2,adjective,describing things,Details,/british-english/words/detail/400
1455,bare,NOT COVERED,B2,adjective,describing things,Details,/british-english/words/detail/457
1456,bizarre,,B2,adjective,describing things,Details,/british-english/words/detail/554
1457,breathtaking,,B2,adjective,describing things,Details,/british-english/words/detail/648
1458,circular,SHAPE,B2,adjective,describing things,Details,/british-english/words/detail/925
1459,abnormal,,C1,adjective,describing things,Details,/british-english/words/detail/6
1460,average,NOT EXCELLENT,C1,adjective,describing things,Details,/british-english/words/detail/400
1461,awesome,SPECIAL,C2,adjective,describing things,Details,/british-english/words/detail/408
1462,bland,BORING,C2,adjective,describing things,Details,/british-english/words/detail/560
1463,bleak,COLD,C2,adjective,describing things,Details,/british-english/words/detail/563
1464,above,HIGHER POSITION,A1,adverb,describing things,Details,/british-english/words/detail/11
1465,back,RETURNING,A1,adverb,describing things,Details,/british-english/words/detail/414
1466,below,POSITION,A1,adverb,describing things,Details,/british-english/words/detail/514
1467,above,MORE,A2,adverb,describing things,Details,/british-english/words/detail/11
1468,across,,A2,adverb,describing things,Details,/british-english/words/detail/63
1469,anywhere,ANY PLACE,A2,adverb,describing things,Details,/british-english/words/detail/267
1470,around,TO/IN A PLACE,A2,adverb,describing things,Details,/british-english/words/detail/314
1471,away,DISTANCE FROM,A2,adverb,describing things,Details,/british-english/words/detail/406
1472,apart,SEPARATE,B1,adverb,describing things,Details,/british-english/words/detail/268
1473,around,IN A CIRCLE/CIRCULAR MOVEMENT,B1,adverb,describing things,Details,/british-english/words/detail/314
1474,away,INTO PLACE,B1,adverb,describing things,Details,/british-english/words/detail/406
1475,behind,BACK,B1,adverb,describing things,Details,/british-english/words/detail/507
1476,below,LESS,B1,adverb,describing things,Details,/british-english/words/detail/514
1477,alongside,NEXT TO,C1,adverb,describing things,Details,/british-english/words/detail/180
1478,beyond,PLACE,C1,adverb,describing things,Details,/british-english/words/detail/531
1479,bottom,LOWEST PART,A1,noun,describing things,Details,/british-english/words/detail/616
1480,be,POSITION,A1,verb,describing things,Details,/british-english/words/detail/480
1481,class,TEACHING GROUP,A1,noun,education,Details,/british-english/words/detail/940
1482,bitter,TASTE,B1,adjective,food and drink,Details,/british-english/words/detail/553
1483,bland,NO TASTE,C2,adjective,food and drink,Details,/british-english/words/detail/560
1484,chip,FRIED FOOD,A1,noun,food and drink,Details,/british-english/words/detail/911
1485,budget,,B2,adjective,money,Details,/british-english/words/detail/684
1486,affluent,,C1,adjective,money,Details,/british-english/words/detail/123
1487,bankrupt,,C1,adjective,money,Details,/british-english/words/detail/453
1488,asset,WORTH MONEY,C1,noun,money,Details,/british-english/words/detail/347
1489,award,,B2,verb,money,Details,/british-english/words/detail/403
1490,bid,,C2,verb,money,Details,/british-english/words/detail/535
1491,calm,SEA/WEATHER,B1,adjective,natural world,Details,/british-english/words/detail/744
1492,clear,WITHOUT CLOUDS,B1,adjective,natural world,Details,/british-english/words/detail/950
1493,arid,,C2,adjective,natural world,Details,/british-english/words/detail/308
1494,bronze,METAL,C2,noun,natural world,Details,/british-english/words/detail/673
1495,choice,RIGHT,B1,noun,people: actions,Details,/british-english/words/detail/913
1496,adapt,CHANGE BEHAVIOUR,B2,verb,people: actions,Details,/british-english/words/detail/73
1497,aged,,A2,adjective,people: appearance,Details,/british-english/words/detail/133
1498,black,PEOPLE,A2,adjective,people: appearance,Details,/british-english/words/detail/555
1499,blonde,,A2,adjective,people: appearance,Details,/british-english/words/detail/573
1500,awkward,NOT ATTRACTIVE,C2,adjective,people: appearance,Details,/british-english/words/detail/410
1501,clever,ABLE TO LEARN,A1,adjective,people: personality,Details,/british-english/words/detail/952
1502,afraid,FEAR,A2,adjective,people: personality,Details,/british-english/words/detail/126
1503,angry,,A2,adjective,people: personality,Details,/british-english/words/detail/234
1504,afraid,WORRIED,B1,adjective,people: personality,Details,/british-english/words/detail/126
1505,bad,EVIL,B1,adjective,people: personality,Details,/british-english/words/detail/426
1506,brave,,B1,adjective,people: personality,Details,/british-english/words/detail/635
1507,brilliant,VERY INTELLIGENT,B1,adjective,people: personality,Details,/british-english/words/detail/660
1508,calm,PERSON,B1,adjective,people: personality,Details,/british-english/words/detail/744
1509,certain,NO DOUBT,B1,adjective,people: personality,Details,/british-english/words/detail/843
1510,cold,UNFRIENDLY,B1,adjective,people: personality,Details,/british-english/words/detail/999
1511,aware,,B2,adjective,people: personality,Details,/british-english/words/detail/404
1512,bitter,ANGRY,B2,adjective,people: personality,Details,/british-english/words/detail/553
1513,bitter,HATE,B2,adjective,people: personality,Details,/british-english/words/detail/553
1514,bitter,DISAPPOINTED,B2,adjective,people: personality,Details,/british-english/words/detail/553
1515,bold,BRAVE,B2,adjective,people: personality,Details,/british-english/words/detail/588
1516,bright,INTELLIGENT,B2,adjective,people: personality,Details,/british-english/words/detail/658
1517,bright,HAPPY,B2,adjective,people: personality,Details,/british-english/words/detail/658
1518,clumsy,,B2,adjective,people: personality,Details,/british-english/words/detail/980
1519,alert,,C1,adjective,people: personality,Details,/british-english/words/detail/161
1520,anti-social,PERSON,C1,adjective,people: personality,Details,/british-english/words/detail/256
1521,able,CLEVER,C2,adjective,people: personality,Details,/british-english/words/detail/5
1522,abrupt,RUDE,C2,adjective,people: personality,Details,/british-english/words/detail/13
1523,affectionate,,C2,adjective,people: personality,Details,/british-english/words/detail/122
1524,blank,NO FEELING,C2,adjective,people: personality,Details,/british-english/words/detail/561
1525,blunt,RUDE,C2,adjective,people: personality,Details,/british-english/words/detail/578
1526,belief,TRUE,B2,noun,people: personality,Details,/british-english/words/detail/509
1527,boost,,B2,noun,people: personality,Details,/british-english/words/detail/603
1528,close,FRIENDLY,A2,adjective,relationships,Details,/british-english/words/detail/966
1529,close,RELATIVE,B1,adjective,relationships,Details,/british-english/words/detail/966
1530,away,SPORT,C1,adverb,shopping,Details,/british-english/words/detail/406
1531,club,TEAM,B1,noun,shopping,Details,/british-english/words/detail/977
1532,broken,NOT WORKING,A2,adjective,technology,Details,/british-english/words/detail/672
1533,bound,DIRECTION,C1,adjective,travel,Details,/british-english/words/detail/618
1534,abroad,,B1,adverb,travel,Details,/british-english/words/detail/12
1535,aboard,,C1,adverb,travel,Details,/british-english/words/detail/7
1536,busy,PERSON,A2,adjective,work,Details,/british-english/words/detail/718
1537,busy,TIME,A2,adjective,work,Details,/british-english/words/detail/718
1538,chief,HIGHEST IN RANK,B2,adjective,work,Details,/british-english/words/detail/902
1539,casual,WORK,C2,adjective,work,Details,/british-english/words/detail/806
1540,board,ORGANIZATION,C1,noun,work,Details,/british-english/words/detail/580
1541,available,NOT BUSY,A2,adjective,,Details,/british-english/words/detail/398
1542,breakable,,B2,adjective,,Details,/british-english/words/detail/641
1543,acceptable,ALLOWED,C1,adjective,,Details,/british-english/words/detail/28
1544,affordable,,C1,adjective,,Details,/british-english/words/detail/125
1545,changeable,,C1,adjective,,Details,/british-english/words/detail/857
1546,accountable,,C2,adjective,,Details,/british-english/words/detail/45
1547,attainable,,C2,adjective,,Details,/british-english/words/detail/374
1548,annual,,B1,adjective,,Details,/british-english/words/detail/246
1549,central,NEAR CENTRE,B1,adjective,,Details,/british-english/words/detail/837
1550,accidental,,B2,adjective,,Details,/british-english/words/detail/35
1551,analytical,,C1,adjective,,Details,/british-english/words/detail/225
1552,bilingual,,C1,adjective,,Details,/british-english/words/detail/539
1553,brutal,,C1,adjective,,Details,/british-english/words/detail/681
1554,central,CITY,C1,adjective,,Details,/british-english/words/detail/837
1555,central,ORGANIZATION,C1,adjective,,Details,/british-english/words/detail/837
1556,central,IMPORTANT,C2,adjective,,Details,/british-english/words/detail/837
1557,classical,TRADITIONAL,C2,adjective,,Details,/british-english/words/detail/942
1558,closed,NOT OPEN,A1,adjective,,Details,/british-english/words/detail/967
1559,abandoned,EMPTY,B2,adjective,,Details,/british-english/words/detail/3
1560,abandoned,LEFT SOMEWHERE,B2,adjective,,Details,/british-english/words/detail/3
1561,armed,WEAPONS,B2,adjective,,Details,/british-english/words/detail/312
1562,balanced,FAIR,B2,adjective,,Details,/british-english/words/detail/437
1563,accepted,,C1,adjective,,Details,/british-english/words/detail/30
1564,acclaimed,,C1,adjective,,Details,/british-english/words/detail/37
1565,alleged,,C1,adjective,,Details,/british-english/words/detail/167
1566,biased,,C1,adjective,,Details,/british-english/words/detail/533
1567,allied,,C2,adjective,,Details,/british-english/words/detail/170
1568,broadminded,,C2,adjective,,Details,/british-english/words/detail/669
1569,better,COMPARATIVE,A2,adverb,,Details,/british-english/words/detail/528
1570,colourful,UNUSUAL,B2,adjective,,Details,/british-english/words/detail/1013
1571,accessible,REACH,B2,adjective,,Details,/british-english/words/detail/32
1572,accessible,UNDERSTAND,C2,adjective,,Details,/british-english/words/detail/32
1573,artistic,CREATIVE ABILITY,B2,adjective,,Details,/british-english/words/detail/329
1574,athletic,,B2,adjective,,Details,/british-english/words/detail/365
1575,chaotic,,C1,adjective,,Details,/british-english/words/detail/860
1576,automatic,PERSON,C2,adjective,,Details,/british-english/words/detail/394
1577,automatic,CERTAIN,C2,adjective,,Details,/british-english/words/detail/394
1578,characteristic,,C2,adjective,,Details,/british-english/words/detail/864
1579,burning,ON FIRE,B1,adjective,,Details,/british-english/words/detail/708
1580,challenging,,B1,adjective,,Details,/british-english/words/detail/850
1581,alarming,,C1,adjective,,Details,/british-english/words/detail/156
1582,beginning,,A2,noun,,Details,/british-english/words/detail/503
1583,aspiration,,C2,noun,,Details,/british-english/words/detail/336
1584,activity,EVENT,A2,noun,,Details,/british-english/words/detail/68
1585,active,BUSY,B1,adjective,,Details,/british-english/words/detail/66
1586,active,GRAMMAR,B1,adjective,,Details,/british-english/words/detail/66
1587,active,INVOLVED,B2,adjective,,Details,/british-english/words/detail/66
1588,alternative,DIFFERENT PLAN,B2,adjective,,Details,/british-english/words/detail/190
1589,alternative,NOT USUAL,B2,adjective,,Details,/british-english/words/detail/190
1590,attractive,INTERESTING,B2,adjective,,Details,/british-english/words/detail/382
1591,addictive,,C1,adjective,,Details,/british-english/words/detail/79
1592,administrative,,C1,adjective,,Details,/british-english/words/detail/91
1593,aggressive,DETERMINED,C1,adjective,,Details,/british-english/words/detail/139
1594,abusive,,C2,adjective,,Details,/british-english/words/detail/23
1595,carefully,,A2,adverb,,Details,/british-english/words/detail/786
1596,clearly,NOT CONFUSED,A2,adverb,,Details,/british-english/words/detail/951
1597,accurately,,B1,adverb,,Details,/british-english/words/detail/51
1598,briefly,,B1,adverb,,Details,/british-english/words/detail/657
1599,accidentally,,B2,adverb,,Details,/british-english/words/detail/36
1600,actively,,B2,adverb,,Details,/british-english/words/detail/67
1601,additionally,,B2,adverb,,Details,/british-english/words/detail/82
1602,annually,,B2,adverb,,Details,/british-english/words/detail/247
1603,appropriately,,B2,adverb,,Details,/british-english/words/detail/293
1604,artificially,,B2,adverb,,Details,/british-english/words/detail/327
1605,automatically,PERSON,B2,adverb,,Details,/british-english/words/detail/395
1606,basically,SIMPLY,B2,adverb,,Details,/british-english/words/detail/468
1607,casually,,B2,adverb,,Details,/british-english/words/detail/807
